,lr,p,b0,bi,trunk,best_epoch,R2,MSE
138,0.001,12.0,4.0,4.0,4.0,2.0,-218104.5625,727500.75
139,0.001,12.0,4.0,4.0,8.0,2.0,-233279.78125,767730.0625
140,0.001,12.0,4.0,4.0,12.0,2.0,-139752.40625,481539.71875
141,0.001,12.0,4.0,8.0,4.0,2.0,-158560.40625,553917.9375
142,0.001,12.0,4.0,8.0,8.0,2.0,-172855.78125,685200.5625
143,0.001,12.0,4.0,8.0,12.0,2.0,-62091.671875,298412.6875
144,0.001,12.0,8.0,2.0,4.0,2.0,-268934.96875,1103458.375
145,0.001,12.0,8.0,2.0,8.0,2.0,-172452.125,574619.8125
146,0.001,12.0,8.0,2.0,12.0,2.0,-228304.859375,853557.8125
147,0.001,12.0,8.0,4.0,4.0,2.0,-270670.8125,944577.4375
148,0.001,12.0,8.0,4.0,8.0,2.0,-390224.75,1486027.375
149,0.001,12.0,8.0,4.0,12.0,2.0,-52419.08984375,221349.015625
150,0.001,12.0,8.0,8.0,4.0,2.0,-120539.1484375,628340.5625
151,0.001,12.0,8.0,8.0,8.0,2.0,-78318.1171875,349349.9375
152,0.001,12.0,8.0,8.0,12.0,2.0,-326611.375,1470087.75
153,0.001,12.0,12.0,2.0,4.0,2.0,-97640.4609375,364319.09375
154,0.001,12.0,12.0,2.0,8.0,2.0,-201465.03125,711531.1875
155,0.001,12.0,12.0,2.0,12.0,2.0,-25478.404296875,131937.09375
156,0.001,12.0,12.0,4.0,4.0,2.0,-161711.65625,545513.8125
157,0.001,12.0,12.0,4.0,8.0,2.0,-88104.1640625,373166.03125
158,0.001,12.0,12.0,4.0,12.0,2.0,-125654.0546875,559613.5
159,0.001,12.0,12.0,8.0,4.0,2.0,-403624.1875,1553184.0
160,0.001,12.0,12.0,8.0,8.0,2.0,-184876.921875,787662.5625
161,0.001,12.0,12.0,8.0,12.0,2.0,-133378.59375,582456.3125
162,0.01,4.0,4.0,2.0,4.0,2.0,-14229.8828125,46229.6953125
163,0.01,4.0,4.0,2.0,8.0,2.0,-4547.705078125,39450.69140625
164,0.01,4.0,4.0,2.0,12.0,2.0,-8950.5703125,91273.9296875
165,0.01,4.0,4.0,4.0,4.0,2.0,-5685.74462890625,76755.671875
166,0.01,4.0,4.0,4.0,8.0,2.0,-11645.6162109375,44106.37109375
167,0.01,4.0,4.0,4.0,12.0,1.0,-1476.453857421875,8031.68896484375
168,0.01,4.0,4.0,8.0,4.0,2.0,-10869.7177734375,51028.21875
169,0.01,4.0,4.0,8.0,8.0,2.0,-12573.927734375,45243.9375
170,0.01,4.0,4.0,8.0,12.0,2.0,-3618.415771484375,24888.89453125
171,0.01,4.0,8.0,2.0,4.0,2.0,-5423.3984375,31364.37109375
172,0.01,4.0,8.0,2.0,8.0,2.0,-8624.251953125,33311.70703125
173,0.01,4.0,8.0,2.0,12.0,2.0,-4534.61376953125,19823.0703125
174,0.01,4.0,8.0,4.0,4.0,0.0,-7915.15625,43628.58984375
175,0.01,4.0,8.0,4.0,8.0,2.0,-8433.037109375,38983.66796875
176,0.01,4.0,8.0,4.0,12.0,0.0,-5732.14013671875,30077.341796875
177,0.01,4.0,8.0,8.0,4.0,1.0,-4948.52490234375,21082.916015625
178,0.01,4.0,8.0,8.0,8.0,2.0,-9574.83203125,48949.7578125
