,lr,p,b0,bi,trunk,R2_1,R2_2,R2_3,R2_4
208,0.01,8,16,4,8,0.980315187,0.953576263,0.913411317,0.900324981
209,0.01,8,16,4,16,0.975306055,0.950837539,0.907869066,0.88878855
210,0.01,8,16,8,4,0.979441765,0.95376396,0.919598836,0.890873062
211,0.01,8,16,8,8,0.96487068,0.952685679,0.911063439,0.892081178
212,0.01,8,16,8,16,0.965708873,0.947188299,0.910397246,0.885846021
213,0.01,8,16,16,4,0.977986598,0.953940388,0.917254144,0.897710813
214,0.01,8,16,16,8,0.977709908,0.951547391,0.916368412,0.89064103
215,0.01,8,16,16,16,0.971143961,0.957018008,0.909773176,0.893808112
216,0.01,16,4,4,4,0.967719269,0.95252136,0.914698123,0.891717388
217,0.01,16,4,4,8,0.969155409,0.951584188,0.907535294,0.893896524
218,0.01,16,4,4,16,0.969002345,0.949938261,0.915040423,0.895640174
219,0.01,16,4,8,4,0.975448376,0.956215728,0.918309888,0.891293806
220,0.01,16,4,8,8,0.975966429,0.957010435,0.913252319,0.889473687
221,0.01,16,4,8,16,0.973824467,0.949919291,0.913497852,0.892453472
222,0.01,16,4,16,4,0.97655199,0.954801768,0.91213651,0.892995497
223,0.01,16,4,16,8,0.978007633,0.948689343,0.910120757,0.89453298
224,0.01,16,4,16,16,0.979568973,0.961357089,0.916308411,0.901713531
225,0.01,16,8,4,4,0.970800789,0.948341374,0.908750064,0.892880321
226,0.01,16,8,4,8,0.967922565,0.949296152,0.909548682,0.895350332
227,0.01,16,8,4,16,0.978974612,0.958084909,0.915706763,0.898790872
228,0.01,16,8,8,4,0.979381619,0.963300658,0.916029172,0.900687811
229,0.01,16,8,8,8,0.976294613,0.95052245,0.910252,0.894159869
230,0.01,16,8,8,16,0.979077769,0.94947592,0.911140461,0.889336438
231,0.01,16,8,16,4,0.967217212,0.947238239,0.913161966,0.889794676
232,0.01,16,8,16,8,0.978391601,0.954256161,0.915375943,0.896742177
233,0.01,16,8,16,16,0.97105971,0.953977724,0.913790063,0.893790543
234,0.01,16,16,4,4,0.973051445,0.951141684,0.907036894,0.885852296
235,0.01,16,16,4,8,0.978621303,0.958075618,0.922562854,0.903059671
236,0.01,16,16,4,16,0.979142409,0.959502175,0.914390523,0.900152387
237,0.01,16,16,8,4,0.96609323,0.951703077,0.905761093,0.889041166
238,0.01,16,16,8,8,0.977596185,0.956178927,0.917487979,0.889084891
239,0.01,16,16,8,16,0.970035113,0.95786324,0.913375896,0.89481611
240,0.01,16,16,16,4,0.975684872,0.955804055,0.917924382,0.891015117
241,0.01,16,16,16,8,0.97206355,0.960087454,0.911132034,0.896276332
242,0.01,16,16,16,16,0.97326216,0.953544079,0.905291432,0.888411368
