,lr,p,b0,bi,trunk,R2_1,R2_2,R2_3,R2_4
106,0.001,4,16,16,8,0.989591639,0.951542033,0.928288723,0.893615041
107,0.001,4,16,16,16,0.984966668,0.947520147,0.919819259,0.889221975
108,0.001,8,4,4,4,0.985649188,0.956595407,0.927737694,0.899424486
109,0.001,8,4,4,8,0.988658585,0.96135833,0.929133246,0.893054319
110,0.001,8,4,4,16,0.975193493,0.947651222,0.921976002,0.889456267
111,0.001,8,4,8,4,0.98400739,0.955695071,0.92011959,0.897513629
112,0.001,8,4,8,8,0.986977777,0.951054748,0.922901631,0.891163142
113,0.001,8,4,8,16,0.984144369,0.952251757,0.923752985,0.893752243
114,0.001,8,4,16,4,0.982563889,0.947554865,0.923480363,0.889112199
115,0.001,8,4,16,8,0.979961564,0.958240914,0.920568372,0.892253536
116,0.001,8,4,16,16,0.981500777,0.954472817,0.924107611,0.887612729
117,0.001,8,8,4,4,0.98995246,0.954790774,0.92331209,0.899159381
118,0.001,8,8,4,8,0.987983388,0.952229496,0.924241781,0.889257309
119,0.001,8,8,4,16,0.985448903,0.954671699,0.918747388,0.890649628
120,0.001,8,8,8,4,0.979173915,0.951329445,0.928033517,0.89411803
121,0.001,8,8,8,8,0.985008175,0.954684264,0.928134864,0.895929445
122,0.001,8,8,8,16,0.989296663,0.956984677,0.928785453,0.899920405
123,0.001,8,8,16,4,0.988724473,0.956316741,0.925783797,0.901032592
124,0.001,8,8,16,8,0.991339976,0.95185369,0.929364343,0.897619388
125,0.001,8,8,16,16,0.983658972,0.948836411,0.921457719,0.89467367
126,0.001,8,16,4,4,0.98312874,0.954808477,0.922863849,0.894760108
127,0.001,8,16,4,8,0.9883755,0.953443442,0.927352662,0.898341284
128,0.001,8,16,4,16,0.982457347,0.958941209,0.922158072,0.896027985
129,0.001,8,16,8,4,0.985882175,0.953705737,0.929139882,0.900713281
130,0.001,8,16,8,8,0.97766882,0.952561791,0.923225158,0.895660193
131,0.001,8,16,8,16,0.992444222,0.962791789,0.925995864,0.897361301
132,0.001,8,16,16,4,0.980999253,0.955045303,0.922488707,0.887149504
133,0.001,8,16,16,8,0.980156671,0.956207834,0.924343069,0.89100113
134,0.001,8,16,16,16,0.982472118,0.953422623,0.927318408,0.894900546
135,0.001,16,4,4,4,0.989009994,0.952696884,0.928570107,0.895705167
136,0.001,16,4,4,8,0.978674405,0.948536372,0.918551377,0.893714163
137,0.001,16,4,4,16,0.97618679,0.950799403,0.919355267,0.884802007
138,0.001,16,4,8,4,0.982483834,0.949814971,0.921285903,0.89527534
139,0.001,16,4,8,8,0.982463839,0.953359558,0.922798329,0.892569421
140,0.001,16,4,8,16,0.980541094,0.949893635,0.926445979,0.893209574
141,0.001,16,4,16,4,0.986446539,0.955432018,0.932321504,0.902826525
142,0.001,16,4,16,8,0.988462146,0.954257627,0.928383847,0.89145355
143,0.001,16,4,16,16,0.987853011,0.956681233,0.92603101,0.899379219
144,0.001,16,8,4,4,0.978071425,0.950238943,0.924182281,0.888496059
145,0.001,16,8,4,8,0.982497842,0.958478437,0.924371957,0.899451823
